Names,anime_url,anime_img,episodes,votes_x,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller,MAL_ID,Score,Genre,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,mediaType,eps,duration,ongoing,startYr,finishYr,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes_y
Naruto,https://www.crunchyroll.com/naruto,https://img1.ak.crunchyroll.com/i/spire2/0145388e3ecfdb5a63ce1e9feaeef44a1279141923_full.jpg,220,16613,79667,4.8,456,64,282,818,14993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,ナルト,TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660.0,8,1830540,65586,137167,1462223,61734,99806,69610,216866.0,234481.0,345563.0,286175.0,108155.0,46886.0,15477.0,6098.0,3582.0,5310.0,TV,220.0,,False,2002.0,2007.0,Fall,"Naruto Uzumaki is a young ninja who bears a great power hidden inside him, a power that has isolated him from the rest of his village. As such, his only dream is to become the Hokage - the most powerful ninja, and leader of the village; but first he needs to graduate! With his inability to perform even the most basic ninja techniques, it seems that all Naruto has going for him is his determination to succeed no matter what. Teamed up with the genius Sasuke, book-smart Sakura, and their team leader Kakashi, Naruto embarks on his quest to become the Hokage. But with outside forces posing a threat to the entire Hidden Leaf village, Naruto discovers that he must become much stronger if he ever wants to realize his dream and protect the friendships he's forged.",['Studio Pierrot'],"['Action', 'Drama', 'Shounen', 'Japanese Mythology', 'Ninja', 'Revenge', 'Rivalries', 'Based on a Manga']",[],119474.0,16302,10231,12124,4.08,97965.0
Skip Beat!,https://www.crunchyroll.com/skip-beat,https://img1.ak.crunchyroll.com/i/spire3/4bbe3a679c7365d16dd49c9d78ae992e1279142023_full.jpg,0,15011,73683,4.91,98,20,112,696,14085,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4722,8.13,"Comedy, Drama, Romance, Shoujo",Skip Beat!,スキップ・ビート！,TV,25,"Oct 6, 2008 to Mar 30, 2009",Fall 2008,"Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Pied Piper,Hal Film Maker,Manga,24 min. per ep.,PG-13 - Teens 13 or older,381.0,670,219475,5314,7905,153037,5642,6450,46441,21149.0,28476.0,33439.0,21758.0,8635.0,3741.0,1243.0,417.0,229.0,213.0,TV,25.0,,False,2008.0,2009.0,Fall,"Kyoko moves to the big city with the prince of her dreams Shotaro; he wants to make it big in the entertainment business, so she works hard at many different jobs to support him as he achieves his dream. However, one day, Kyoko accidentally discovers the horrible truth: the love of her life thinks of her as a 'plain and boring woman!' Outraged, Kyoko swears revenge – she will make it even bigger than Shotaro in the entertainment world. The only question is, how will she fulfill her desire?",['Hal Film Maker'],"['Comedy', 'Romance', 'Shoujo', 'Acting', 'Idols', 'Showbiz', 'Work Life', 'Based on a Manga']",[],25708.0,1716,8695,1083,4.398,19443.0
Gintama,https://www.crunchyroll.com/gintama,https://img1.ak.crunchyroll.com/i/spire2/54c15675670ba44c1f98c3e11ba0cddf1515030877_full.jpg,379,11435,55745,4.87,133,47,124,509,10622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Gintama,銀魂,TV,201,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,15.0,114,754607,48247,149543,230260,87145,39531,248128,108448.0,74869.0,52666.0,27675.0,11208.0,6423.0,2934.0,1299.0,850.0,2743.0,TV,201.0,,False,2006.0,2010.0,Spring,"In Gintoki's Japan, the arrival of the various space races known collectively as the Amanto ended the era of the samurai. The Amanto's highly advanced technology resulted in total conquest and a severe economic shift. Now, former samurai such as Gintoki scrape together whatever livelihood they can. Gintoki's profession of choice is that of a yorozuya: he'll complete any job for money. However, he’s unmotivated; and spending most of the day on the couch with the latest issue of Jump and a carton of Strawberry Milk is his preferred pastime. It turns out that his new unpaid employees, Shinpachi and Kagura, are going to interfere with his pastime even more than with his ""work""! Of course, none of this means he has really given up on his samurai ideologies!",['Sunrise'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],15506.0,12354,17429,4154,4.37,21095.0
Eyeshield 21,https://www.crunchyroll.com/eyeshield-21,https://img1.ak.crunchyroll.com/i/spire3/f7adee8b50d73664021c3e4e3042e8101279142732_full.jpg,0,8466,41028,4.85,99,43,115,547,7662,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,7.95,"Action, Sports, Comedy, Shounen",Unknown,アイシールド21,TV,145,"Apr 6, 2005 to Mar 19, 2008",Spring 2005,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha","VIZ Media, Sentai Filmworks",Gallop,Manga,23 min. per ep.,PG-13 - Teens 13 or older,604.0,1003,148259,2066,13907,78349,14228,11573,30202,9226.0,14904.0,22811.0,16734.0,6206.0,2621.0,795.0,336.0,140.0,151.0,TV,145.0,,False,2005.0,2008.0,Spring,"Sena was always a weak child, constantly having to run away from bullies; so much, that he became good at it. Now, as a teenager, Sena’s skill at running has become so impressive that the diabolical mastermind of the school football team notices his talent and recruits him. Yet to keep his privacy intact and his dangerous hobby a secret from his overprotective childhood friend Mamori, Sena is forced to develop a secret identity: the ace running back, Eyeshield 21! But the world is full of talented rivals, and Sena has a long way to go until he can reach the top...",['Gallop'],"['Action', 'Comedy', 'Drama', 'Shounen', 'Sports', 'Football', 'School Club', 'School Life', 'Tournaments', 'Based on a Manga']","['Mature Themes', 'Physical Abuse']",9752.0,2780,3584,1528,4.122,9111.0
Myself; Yourself,https://www.crunchyroll.com/myself-yourself,https://img1.ak.crunchyroll.com/i/spire3/ce637f84d074ecb1d1a7d65ff85464f21273802656_full.jpg,0,4588,22000,4.8,47,24,120,440,3957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2926,7.21,"Drama, Romance, School",Myself; Yourself,マイセルフ; ユアセルフ,TV,13,"Oct 3, 2007 to Dec 26, 2007",Fall 2007,"Marvelous, Pony Canyon, Happinet Pictures, 5pb.",Maiden Japan,Doga Kobo,Visual novel,25 min. per ep.,PG-13 - Teens 13 or older,2754.0,902,164171,833,4812,111131,3426,4415,40387,6529.0,10658.0,20209.0,24172.0,13237.0,6870.0,2780.0,1116.0,620.0,381.0,TV,13.0,,False,2007.0,2007.0,Fall,"After having lived elsewhere for several years, Sana returns to the town in which he grew up in, and quickly begins to reacquaint himself to his surroundings and new high school. While there, Sana runs into his four childhood friends: Shuu, Shuri, Aoi, and Nanaka; but for some strange reason Nanaka gives him the cold shoulder. As he goes about his new daily life, can Sana rebuild his friendship with Nanaka while trying to deal with a troubling secret from his past?",['Doga Kobo'],"['Drama', 'Romance', 'Based on a Visual Novel']",[],18179.0,778,8078,769,3.853,13196.0
Durarara!!,https://www.crunchyroll.com/durarara,https://img1.ak.crunchyroll.com/i/spire4/4e653adda1d5c4622bd496dc10cacf211451958742_full.jpg,62,4042,19606,4.85,13,9,53,419,3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6746,8.18,"Action, Mystery, Supernatural",Durarara!!,デュラララ!!,TV,24,"Jan 8, 2010 to Jun 25, 2010",Winter 2010,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, ASCII Media Works, Sakura Create",Aniplex of America,Brain's Base,Light novel,24 min. per ep.,R - 17+ (violence & profanity),329.0,57,1111256,29775,78950,651208,62664,44157,274277,85779.0,142254.0,168690.0,97399.0,34893.0,15199.0,5310.0,1719.0,890.0,1001.0,TV,24.0,,False,2010.0,2010.0,Winter,"Looking for a change, Mikado moves from the countryside to bustling Ikebukuro to attend the same high school as his best friend, Masaomi. Though navigating a new school and friendships can prove tough by itself, Mikado also finds an overwhelming number of new delights and dangers in the district he now calls home. From a friendly Russian sushi bar to the violent color gangs, to even an urban legend in the form of a black motorcycle rider, each resident of Ikebukuro is unique and frightening. But the town is smaller than it seems at first, and these strange events appear to be connected. Will the growing storm sweep up the transplanted country boy and his friends or will Mikado find himself at the center of a dramatic change for Tokyo?",[],"['Action', 'Comedy', 'Gangs', 'Noir', 'Social Media', 'Supernatural', 'Based on a Light Novel']","['Mature Themes', 'Suicide', 'Violence']",52185.0,7676,19198,3459,4.382,43598.0
School Days,https://www.crunchyroll.com/school-days,https://img1.ak.crunchyroll.com/i/spire1/ee4f69cccf34b06057eb7d3ae48f57191345364926_full.jpg,0,3484,14390,4.13,371,120,271,644,2078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2476,5.68,"Harem, Drama, Romance, School",School Days,スクールデイズ,TV,12,"Jul 4, 2007 to Sep 27, 2007",Summer 2007,"Avex Entertainment, Marvelous, Lantis, Pony Canyon",Discotek Media,TNK,Visual novel,25 min. per ep.,R+ - Mild Nudity,9203.0,225,522307,3042,12905,387527,7572,23861,90442,20797.0,21477.0,37155.0,51711.0,48543.0,37242.0,33122.0,21845.0,22344.0,25046.0,TV,12.0,,False,2007.0,2007.0,Summer,"When Makoto saw Kotonoha on the train one day, he fell in love at first sight. Luckily, his classmate Sekai’s nosy personality ensures him an introduction to his crush, and soon the two begin to date. However, Kotonoha isn’t the only one with eyes for Makoto - a fact that any horny teenager would be delighted with. With endless temptations, lies and heartbreak at every turn, Makoto and Kotonoha’s relationship will soon be put to the ultimate test...",['TNK'],"['Drama', 'Ecchi', 'Harem', 'Romance', 'Love Triangle', 'School Life', 'Based on a Visual Novel']","['Mature Themes', 'Sexual Content']",35817.0,1312,9749,2483,2.717,27397.0
Sword Art Online,https://www.crunchyroll.com/sword-art-online,https://img1.ak.crunchyroll.com/i/spire1/1695b24f123889418228be89e00b9a0d1570828158_full.jpg,89,3458,15226,4.4,163,153,284,385,2473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11757,7.25,"Action, Game, Adventure, Romance, Fantasy",Sword Art Online,ソードアート・オンライン,TV,25,"Jul 8, 2012 to Dec 23, 2012",Summer 2012,"Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,2584.0,4,2214395,66342,80304,1907261,25632,90661,110537,241049.0,236672.0,305386.0,303813.0,188431.0,124819.0,81155.0,44204.0,25371.0,23472.0,TV,25.0,,False,2012.0,2012.0,Summer,"The year is 2022, and gamers have lined up on launch day for Sword Art Online, a hotly-anticipated MMORPG that lets players connect to an immersive virtual reality world with special helmets called Nerve Gear. Kirito is one such gamer who's eager to jump back into action, having spent a great deal of time as a beta tester, and quickly becomes friends with newbie warrior Klein. But soon, Sword Art Online's 10,000 players discover that not only are they unable to log out, the only way they can return to their physical bodies is by beating the 100-level tower's final boss - that is, if their HP doesn't drop to zero first, for death in the game means death in the real world. Now, with no one else to turn to, Kirito and the other participants must survive the game as best they can – some forming guilds, others ruthlessly leaving their peers behind, and many tragically falling by the wayside or to the merciless monsters populating the lands...",['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy', 'Sci Fi', 'Dungeon', 'High Stakes Games', 'MMORPG', 'Overpowered Main Characters', 'PVE', 'PVP', 'RPG', 'Trapped in a Video Game', 'Virtual Reality', 'Based on a Light Novel']","['Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Suicide']",117831.0,7144,9986,4623,4.184,92416.0
Neo Angelique Abyss,https://www.crunchyroll.com/neo-angelique-abyss,https://img1.ak.crunchyroll.com/i/spire4/a2fa03b20ae43176088bddfbbd60ae901279148471_full.jpg,0,3258,15470,4.75,43,24,121,334,2736,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615,6.85,"Comedy, Fantasy, Harem, Romance, Shoujo",Unknown,ネオアンジェリーク Abyss,TV,13,"Apr 7, 2008 to Jun 30, 2008",Spring 2008,Koei,Sentai Filmworks,Yumeta Company,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4240.0,2816,33135,133,1683,17572,1478,2139,10263,960.0,1286.0,2318.0,3682.0,2630.0,1621.0,635.0,309.0,163.0,102.0,TV,13.0,,False,2008.0,2008.0,Spring,"The fantasy world of Arcadia is in peril: fierce monsters known as Thanatos are sucking the life from humans, and only men known as Purifiers can vanquish them. Angelique is a young girl who attends Melrose Girls Academy and thought her life was normal, until the dashing Nyx told her that she has hidden powers within. After a brutal attack by a Thanatos, Angelique finds she is able to help in the battle and heal those who have been sucked dry; her powers are real, and she discovers she is in fact the Queen's Egg - the only female Purifier. With the help of allies such as shoot-em-up Rayne, the happy traveler J.D. and Silver Knight Hyuga, Angelique will learn about her powers and help put a stop to the Thanatos.",['Yumeta Company'],"['Fantasy', 'Shoujo', 'Based on an Otome Game', 'Based on a Visual Novel']",[],3905.0,488,2760,421,3.248,2789.0
Happiness!,https://www.crunchyroll.com/happiness,https://img1.ak.crunchyroll.com/i/spire3/2ccca23700d511a033d047ca0ae037ec1279142545_full.jpg,0,3069,14529,4.73,52,17,92,373,2535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570,6.41,"Comedy, Harem, Magic, Romance, School",Happiness!,はぴねす！,TV,12,"Oct 6, 2006 to Dec 22, 2006",Fall 2006,Delfi Sound,Maiden Japan,Artland,Visual novel,25 min. per ep.,PG-13 - Teens 13 or older,6361.0,2865,32261,53,1374,19044,1221,1874,8748,582.0,856.0,2058.0,3890.0,3325.0,2270.0,968.0,430.0,245.0,161.0,TV,12.0,,False,2006.0,2006.0,Fall,"In a world not unlike our own, mages are commonplace and schools are separated between normal students and magic users. Yuma Kohinata is a student at one such school, Mizuhosaka Academy. On the way home from buying chocolates with his androgynous friend Jun, Yuma is given chocolates from school idol Haruhi Kamisaka; things become even more complex once the magic wing of the school has a gas explosion, displacing all of the magic students into the normal section – including Haruhi! Now, Yuma finds himself thrust into the world of magic, and must deal with the various women who vie for his affections; can he juggle his priorities and continue to pass his classes?",['Artland'],"['Harem', 'Magic', 'School Life', 'Based on an Eroge', 'Based on a Visual Novel']",[],4844.0,386,2647,477,2.907,3361.0
